queryNumber;_precisionScore
1;0.0
2;0.0
3;0.2
4;0.0
5;0.8
6;0.2
7;0.6
8;0.0
9;0.0
10;0.0
11;0.6
12;0.0
13;0.0
14;0.0
15;0.4
16;0.4
17;0.4
18;0.8
19;0.0
20;0.6
21;0.6
22;0.2
23;0.0
24;0.0
25;0.4
26;0.2
27;0.4
28;0.2
29;0.0
30;0.2
31;0.2
32;0.4
33;1.0
34;0.2
35;0.6
36;0.0
37;1.0
38;0.6
39;0.2
40;0.8
41;0.4
42;0.6
43;0.4
44;1.0
45;0.0
46;0.0
47;0.2
48;0.0
49;0.6
50;0.2
51;0.2
52;0.2
53;0.6
54;0.0
55;0.0
56;0.2
57;0.2
58;0.0
59;0.2
60;0.0
61;0.0
62;0.4
63;0.0
64;0.2
65;0.0
66;0.0
67;0.0
68;0.0
69;0.4
70;0.2
71;0.4
72;0.8
73;0.6
74;0.2
75;0.4
76;0.8
77;0.2
78;0.4
79;0.0
80;0.2
81;0.2
82;0.2
83;0.4
84;0.2
85;0.2
86;0.2
87;0.2
88;0.0
89;0.0
90;0.4
91;0.4
92;0.0
94;0.6
95;0.2
96;0.4
97;0.4
98;0.2
99;0.4
100;0.4
