queryNumber;rank;documentID;similarity
1;1;00040;0.06999699069900936
1;2;01080;0.032697501128605456
1;3;01126;-0.01856285248568123
1;4;00390;-0.04728297531620737
1;5;00781;-0.049557329740071876
1;6;00768;-0.05899854299804831
1;7;00861;-0.06058265255947183
1;8;00182;-0.06291671011265978
1;9;00558;-0.06648444829556181
1;10;00222;-0.06994231787310658
1;11;01061;-0.07450394153677192
1;12;00151;-0.08431363776745121
1;13;00836;-0.08470394174168216
1;14;00280;-0.10089789401793015
1;15;00374;-0.10571892208926896
1;16;00883;-0.10609383049253929
1;17;00657;-0.10783717105169485
1;18;00456;-0.11067852980794665
1;19;01111;-0.11148966991397605
1;20;00338;-0.11669585005549316
1;21;00171;-0.1265322345856046
1;22;00129;-0.1335924029679548
1;23;00741;-0.14445210505253497
1;24;00940;-0.14521425659486123
1;25;00321;-0.14538046056765824
1;26;00526;-0.14569072186707338
1;27;00828;-0.14616468158075274
1;28;00724;-0.1495980830042583
1;29;00477;-0.14977177651132384
1;30;00965;-0.15034486111327536
1;31;01097;-0.1514779294421178
1;32;00923;-0.15166595828505564
1;33;00439;-0.1536691694391903
1;34;00908;-0.1546180934035148
1;35;01009;-0.15779033673234566
1;36;01040;-0.1615876090318237
1;37;00561;-0.16481098841827085
1;38;00695;-0.16553660652171265
1;39;00416;-0.16844783800496663
1;40;00437;-0.1721903772443478
1;41;00663;-0.17743301099337458
1;42;00636;-0.17754740621157108
1;43;00935;-0.1785609827718383
1;44;00893;-0.17908213269018017
1;45;00751;-0.18015289842766427
1;46;01188;-0.1821726658199643
1;47;01007;-0.18479807028172385
1;48;00454;-0.18664418258376317
1;49;00606;-0.19258869716362145
1;50;00282;-0.19368587619966082
1;51;00468;-0.19407759695821525
1;52;00620;-0.19485692903280166
1;53;00747;-0.1972877372066892
1;54;01045;-0.197450193019143
1;55;01085;-0.19846032254940207
1;56;00580;-0.19977236092949002
1;57;00057;-0.20290509011890678
1;58;00344;-0.2037135137011233
1;59;00700;-0.20454435782902147
1;60;00191;-0.20582268041886578
1;61;01063;-0.21011544223810802
1;62;00756;-0.21014761990280034
1;63;00399;-0.21023538675157938
1;64;00068;-0.21137368117889702
1;65;00943;-0.21144186668461964
1;66;01215;-0.21148156445008587
1;67;00802;-0.21210431982008204
1;68;00017;-0.2143761278602685
1;69;00609;-0.21469417894725937
1;70;00385;-0.21471758425661044
1;71;00679;-0.21637778731545104
1;72;01219;-0.2184161783083569
1;73;00581;-0.21940045647699127
1;74;00974;-0.22159134665093388
1;75;00772;-0.2222981298890302
1;76;01218;-0.22413863513121599
1;77;00757;-0.22605269650207982
1;78;00464;-0.22620346795917945
1;79;00296;-0.23000688657338167
1;80;01107;-0.23206665589836703
1;81;01049;-0.2332112555013639
1;82;00115;-0.2332229112189154
1;83;01231;-0.2334553154973072
1;84;00692;-0.23346458224561256
1;85;00997;-0.23756884419354596
1;86;01101;-0.24351240772317181
1;87;00158;-0.24490002942127911
1;88;00421;-0.24781092982062294
1;89;01129;-0.25114656387020684
1;90;00624;-0.2523223465724309
1;91;00489;-0.2535247815097948
1;92;01077;-0.25399435881928056
1;93;00499;-0.25553337920501673
1;94;01026;-0.2556364901262226
1;95;00833;-0.25572733566361083
1;96;00603;-0.25595804936160027
1;97;00753;-0.256650191374653
1;98;00078;-0.2589096984093982
1;99;00398;-0.2598578390082048
1;100;01006;-0.26032154906854427
1;101;00240;-0.2608579334860225
1;102;00455;-0.26291169568925926
1;103;00543;-0.26309427134494634
1;104;00904;-0.26600574516270553
1;105;00396;-0.2665058168737212
1;106;01090;-0.26772728631592535
1;107;00638;-0.26784565059211835
1;108;00274;-0.2686465773959171
1;109;00850;-0.26946213151837983
1;110;00857;-0.271056785840821
1;111;01051;-0.2723996737785451
1;112;01004;-0.2764612262335723
1;113;00403;-0.27713506528941373
1;114;00650;-0.278373348699903
1;115;00116;-0.28257861381256555
1;116;01032;-0.28259138546087526
1;117;00041;-0.2838085910455603
1;118;00780;-0.2839137490442033
1;119;01132;-0.2841376608451136
1;120;00720;-0.2843788727721749
1;121;00527;-0.2849072424187112
1;122;00789;-0.285185358356861
1;123;01058;-0.285771541960376
1;124;00152;-0.28593970321156165
1;125;00668;-0.28610550757421277
1;126;00611;-0.28626466398217
1;127;00127;-0.2873871159000167
1;128;01238;-0.2877372832439924
1;129;00210;-0.28903678552975653
1;130;01179;-0.28935499780688917
1;131;01104;-0.2919600676457035
1;132;01229;-0.2920304027508354
1;133;00105;-0.292277584262957
1;134;00926;-0.29241177055690276
1;135;00490;-0.2932169486892501
1;136;00090;-0.29382433096886
1;137;01166;-0.29387206261171994
1;138;00029;-0.2941955573150622
1;139;00020;-0.29450178274997074
1;140;00353;-0.29509512791259257
1;141;00155;-0.2955004769589089
1;142;00316;-0.2996246125239612
1;143;00409;-0.2996840649196149
1;144;00914;-0.30021363062843165
1;145;00701;-0.30042068526835886
1;146;00204;-0.3020378104417281
1;147;00759;-0.3021325483264806
1;148;01178;-0.30254159464616653
1;149;00808;-0.3026381822802969
1;150;01177;-0.3035745869395307
1;151;00779;-0.30392424534653595
1;152;01158;-0.30409100027157154
1;153;00231;-0.30579895074433455
1;154;00056;-0.3066561792360921
1;155;00827;-0.3075832219552488
1;156;01144;-0.30801632987879746
1;157;00948;-0.3082950874975831
1;158;00723;-0.30894587704733917
1;159;01072;-0.31175340752300207
1;160;01098;-0.3129855168773361
1;161;00070;-0.3130708652067575
1;162;00813;-0.3135629551802908
1;163;00666;-0.3140983268027169
1;164;00787;-0.3152628961548127
1;165;00224;-0.31611595256536335
1;166;00570;-0.3163466204931701
1;167;00275;-0.3187622738781424
1;168;00892;-0.31901270335760773
1;169;00045;-0.32014049406502354
1;170;00907;-0.32307630298820206
1;171;01159;-0.32315636334485237
1;172;00672;-0.323389730218328
1;173;00311;-0.32373948075728626
1;174;00761;-0.3237542625673357
1;175;00408;-0.32413833082718646
1;176;01024;-0.32713051338867766
1;177;00139;-0.32717870995959214
1;178;00047;-0.3287598289497839
1;179;01011;-0.33044494609283936
1;180;00166;-0.3304666349569073
1;181;00087;-0.3321340716367817
1;182;00082;-0.33306193011425483
1;183;00685;-0.3337797769040388
1;184;00816;-0.33488523302528467
1;185;01081;-0.3353500659848383
1;186;00971;-0.33598462637587956
1;187;00775;-0.3369874480642669
1;188;00266;-0.33843255796221305
1;189;00925;-0.34068490702940907
1;190;01204;-0.3411312483485529
1;191;01020;-0.34452024050100494
1;192;00882;-0.3450027050979204
1;193;01025;-0.34609066835793917
1;194;00654;-0.34769269482958204
1;195;00376;-0.34796549784053765
1;196;00032;-0.3493156359601666
1;197;00180;-0.3493378721183177
1;198;00847;-0.34935828865818486
1;199;00249;-0.3497380123241387
1;200;00025;-0.34981270989781604
1;201;00449;-0.35070468064119753
1;202;00853;-0.3528176586336427
1;203;00075;-0.35402080961278826
1;204;00598;-0.35504637273541945
1;205;00537;-0.35519299001711124
1;206;01064;-0.3555716370001375
1;207;01027;-0.3560030754637036
1;208;01128;-0.35610521251920474
1;209;01230;-0.35655285970768286
1;210;00834;-0.3571503537538945
1;211;00525;-0.35764482817370075
1;212;00614;-0.35789165671767115
1;213;00579;-0.35862797167925053
